STOCK_CODE,TOTAL_STOCK,INCOMING_QTY_AVAILABLE,DUE_DATE,DISCONTINUED
1025-BE/BR-165X115,0,0,,Y
1025-BE/BR-220X150,0,0,,Y
1025-BE/BR-280X190,0,0,,Y
1025-IV/CHA-165X115,0,0,,Y
1025-IV/CHA-220X150,0,0,,Y
1025-IV/CHA-280X190,0,0,,Y
1025-IV/RE-165X115,0,0,,Y
1025-IV/RE-220X150,0,0,,Y
1025-IV/RE-280X190,0,0,,Y
1048-CHAR-200X140,0,0,,Y
1311-206-230X160,0,0,,Y
1545-BEIGE-225X155,0,0,,Y
1545-RED-225X155,0,0,,Y
1545-TERRA-225X155,0,0,,Y
1601-GREY-225X155,0,0,,Y
1605-BLUE-165X115,0,0,,Y
1605-BLUE-225X155,0,0,,Y
1605-BLUE-280X190,0,0,,Y
1605-CARA-165X115,0,0,,Y
1605-CARA-225X155,0,0,,Y
1605-CARA-280X190,0,0,,Y
1605-CHO-165X115,0,0,,Y
1605-CHO-225X155,0,0,,Y
1605-CHO-280X190,0,0,,Y
1605-CHO-320X230,0,0,,Y
1605-RED-165X115,0,0,,Y
1605-RED-225X155,0,0,,Y
1605-RED-280X190,0,0,,Y
1605-TA-165X115,0,0,,Y
1605-TA-225X155,0,0,,Y
1605-TA-280X190,0,0,,Y
1605-WH-165X115,0,0,,Y
1605-WH-225X155,0,0,,Y
1605-WH-280X190,0,0,,Y
1612-CHO/TE-165X115,0,0,,Y
1612-CHO/TE-190X190,0,0,,Y
1612-CHO/TE-225X155,0,0,,Y
1612-CHO/TE-280X190,0,0,,Y
1621-ANT-180X120,0,0,,Y
1621-IVORY-180X120,0,0,,Y
1629-BEIGE-165X115,0,0,,Y
1629-BEIGE-225X155,0,0,,Y
1629-BEIGE-280X190,0,0,,Y
1629-BLUE-165X115,0,0,,Y
1629-BLUE-225X155,0,0,,Y
1629-BLUE-280X190,0,0,,Y
1629-RED-165X115,0,0,,Y
1629-RED-225X155,0,0,,Y
1629-RED-280X190,0,0,,Y
1641-B/G-225X155,0,0,,Y
1641-BEIGE-225X155,0,0,,Y
1655-BE/BL-240X170,0,0,,Y
1656-BLUE-240X170,0,0,,Y
1656-GOLD-240X170,0,0,,Y
304-BEIGE-170X120,0,0,,Y
304-BEIGE-230X160,0,0,,Y
304-BEIGE-290X200,0,0,,Y
3D-H-86-CHA-165X115,0,0,,Y
3D-H-86-CHA-225X155,0,0,,Y
3D-H-86-CHA-280X190,0,0,,Y
3D-VC-14-BLUE-165X115,0,0,,Y
3D-VC-14-BLUE-225X155,0,0,,Y
3D-VC-14-BLUE-280X190,0,0,,Y
3D-VC-14-RED-165X115,0,0,,Y
3D-VC-14-RED-225X155,0,0,,Y
3D-VC-14-RED-280X190,0,0,,Y
3D-VC-1-BEIGE-165X115,0,0,,Y
3D-VC-1-BEIGE-225X155,0,0,,Y
3D-VC-1-BEIGE-280X190,0,0,,Y
3D-VC-1-BLUE-165X115,0,0,,Y
3D-VC-1-BLUE-225X155,0,0,,Y
3D-VC-1-BLUE-280X190,0,0,,Y
3D-VC-1-GOLD-165X115,0,0,,Y
3D-VC-1-GOLD-225X155,0,0,,Y
3D-VC-1-GOLD-280X190,0,0,,Y
3D-VC-1-GREEN-165X115,0,0,,Y
3D-VC-1-GREEN-225X155,0,0,,Y
3D-VC-1-GREEN-280X190,0,0,,Y
3D-VC-1-RED-165X115,0,0,,Y
3D-VC-1-RED-225X155,0,0,,Y
3D-VC-1-RED-280X190,0,0,,Y
3D-VC-6-BE/BR-165X115,0,0,,Y
3D-VC-6-BE/BR-225X155,0,0,,Y
3D-VC-6-BE/BR-280X190,0,0,,Y
3D-VC-6-BLUE-165X115,0,0,,Y
3D-VC-6-BLUE-225X155,0,0,,Y
3D-VC-6-BLUE-280X190,0,0,,Y
3D-VC-6-TUR-165X115,0,0,,Y
3D-VC-6-TUR-225X155,0,0,,Y
3D-VC-6-TUR-280X190,0,0,,Y
4001-BROWN-170X120,0,0,,Y
4001-BROWN-230X160,0,0,,Y
4001-BROWN-290X200,0,0,,Y
